dossier_id,nom,description,risques_cibles,risques_naturels,risques_technologiques,public_cible,date_debut,date_fin,adresse,nom_commune,insee_dep,departement,id,organisateur,etat_du_dossier,est_risques_naturels,est_risques_technologiques,est_inondations,est_feux_de_foret,est_tempete_cyclone,est_seisme,est_eruption_volcanique,est_mouvement_de_terrain,est_risques_littoraux,est_avalanche,est_radon,est_accidents_industriels,est_accidents_nucleaires,est_rupture_de_barrage,est_transport_de_matieres_dangereuses,est_tous_public,est_famille,est_jeune_public,est_seniors,lat,lon,action_id
13343397,Conférences tout en image sur les inondations à Angers,"En fin d'après-midi, trois temps ont lieu : 11) diffusion de capsules vidéos par le SMBVAR sur le jeu-vidéo ""Mission inondation"" et sur les ""idées reçues"" (voir la chaine youtube du smbvar) ; 12) diffusion de la vidéo ""Esprit sorcier"" sur le jumeau numérique d'Angers Loire Métropole (qui parle notamment du système de modélisation des crues) et questions/réponses avec le service en charge du projet (service ""Territoire intelligent"") ; 13) Conférence avec un historien, responsable des archives patrimoniales d'Angers, sur l'histoire de la ville et de son rapport à la rivière (1h30)",Risques naturels,Inondations,,"Tous public, Séniors",2023-10-13,2023-10-13,7 Rue Plantagenêt 49100 Angers,Angers (49100),49,Maine-et-Loire,13343397,Syndicat mixte des basses vallées angevines et de la Romme,En construction,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,47.4734118,-0.5553582,
13355430,présentation du plan communal de sauvegarde et de l'organisation communale en cas de crise,"réunion publique de présentation du PCS, destinée à présenter aux administrés l'organisation communale en cas de crise","Risques naturels, Risques technologiques","Inondations, Séisme, Mouvement de terrain, Tempête/cyclone",Transport de matières dangereuses,Tous public,2023-10-12,2023-10-12,Chemin du vallon 74140 Loisin,Loisin (74140),74,Haute-Savoie,13355430,Mairie de Loisin,En construction,True,True,True,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,46.2922313,6.3099899,
13355430,présentation du DICRIM et site FF72,apprendre aux administrés les comportements à adopter s'ils sont soumis à un risque majeurs et savoir où aller chercher ces informations,"Risques naturels, Risques technologiques","Inondations, Séisme, Tempête/cyclone, Mouvement de terrain",Transport de matières dangereuses,Tous public,2023-10-12,2023-10-12,Chemin du vallon 74140 Loisin,Loisin (74140),74,Haute-Savoie,13355430,Mairie de Loisin,En construction,True,True,True,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,46.2922313,6.3099899,
13355430,culture de la mémoire,"presentation de films de l'IRMa ""ça n'arrive pas qu'aux autres"" et retour sur les évènements majeurs qui ont eu lieu sur notre commune: inondation, glissements de terrains, arreté de catastrophes naturelles... sur la base de témoignages de témoins",Risques naturels,"Inondations, Séisme, Mouvement de terrain",,Tous public,2023-10-12,2023-10-12,Chemin du vallon 74140 Loisin,Loisin (74140),74,Haute-Savoie,13355430,Mairie de Loisin,En construction,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,46.2922313,6.3099899,
13220731,Ateliers d'informations et de sensibilisation,"Chaque participant proposera une activités permettant de présenter sa structure et ses missions face au risque inondation. La mise en forme des prestations sera variée et ludique : stand d'information/sensibilisation, ateliers participatifs, exposition, jeux de société, fablab, .... Sur un même lieu, le public aura donc l'occasion d'identifier les acteurs de la résilience et de son organisation sur son territoire. ",Risques naturels,Inondations,,Tous public,2023-10-13,2023-10-14,Boulevard Militaire - Salle du Manège,Hesdin (62140),62,Pas-de-Calais,13220731,Syndicat Mixte Canche et Authie (Symcéa),Accepté,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,50.3730005,2.0366141,
13220731,Animations sur scène sur le risque inondation,"Ces actions seront préparées par les différents exposants. En effet, nous leur proposerons un temps d'échange sur scène afin de sensibiliser et d'interagir avec le public à travers différentes mises en forme : conférence, café débat, tables rondes, quiz, retour d'expérience, ... Un programme sera diffusé et détaillera les thématiques abordées (ex : « La gestion de crise : la mise en place d’un PCS » ; « Se préparer à une alerte : le PFMS » ; …). De plus, chaque passage pourra être diffusé en direct sur la plateforme Twitch ou les réseaux sociaux.",Risques naturels,Inondations,,Tous public,2023-10-13,2023-10-14,Boulevard Militaire - Salle du Manège,Hesdin (62140),62,Pas-de-Calais,13220731,Syndicat Mixte Canche et Authie (Symcéa),Accepté,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,50.3730005,2.0366141,
13452120,Diffusion du Document d'Information Communal sur les Risques Majeurs (DICRIM),Le projet consiste en une diffusion la plus large possible auprès de la population du Document d'Information Communal sur les Risques Majeurs (DICRIM) afin de renforcer la culture du risque sur le territoire communal,"Risques naturels, Risques technologiques","Inondations, Feux de forêt, Séisme, Mouvement de terrain","Rupture de barrage, Transport de matières dangereuses",Tous public,2023-10-01,2023-10-31,Rue Karrika 64310 Saint-Pée-sur-Nivelle,Saint-Pée-sur-Nivelle (64310),64,Pyrénées-Atlantiques,13452120,Commune de Saint-Pée-sur-Nivelle,En construction,True,True,True,True,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False,43.3562545,-1.5506073,
13456621,"Semaine ""Tous résielients!""","Dans le cadre de la journée « Tous résilients » du 13 octobre 2023, nous souhaitons proposer un ensemble exposition + animations autour de la prévention des risques. Cet ensemble sera composé : d’un stand autour de notre DICRIM, une exposition autour du concept des risques majeurs (risques industriels et risques naturels) et des bons comportements à adopter (kakemonos + photos),un escape game sur les risques majeurs, une maquette inondation (animation), un stand d’initiation aux gestes de premiers secours (animation) et un stand de promotion de l’engagement citoyen de sapeur-pompier volontaire. Également, le jeudi, nous allons proposer une pièce de théâtre de la compagnie Essentiel Ephémère (2 représentations).    Ces activités seront destinées au scolaires (du lundi au vendredi) et au grand public (samedi et dimanche) dans le cadre de la fête de la science. ","Risques naturels, Risques technologiques","Inondations, Feux de forêt, Tempête/cyclone, Séisme, Éruption volcanique, Mouvement de terrain, Avalanche","Accidents industriels, Accidents nucléaires, Rupture de barrage, Transport de matières dangereuses",Tous public,2023-10-09,2023-10-14,Place Latour Maubourg 26000 Valence,Valence (26000),26,Drôme,13456621,Mairie de Valence,En instruction,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,44.93293135,4.903106669371308,
13439827,Visite libre de l'œuvre AMPLITUDE dans le cadre du festival ZigZag,"S’installer dans l’espace public, imaginer de nouveaux usages, des installations éphémères ou pérennes, pour interpeller et surprendre, se questionner sur les endroits qu’on habite aujourd’hui et ce qu’ils seront demain. L’œuvre a reçu le Prix Eiffel dans la catégorie « Micro Architecture » en octobre 2022. En partenariat avec la Ville de Duclair. Installation permanente Bords de Seine, à gauche du bac Accès libre en extérieur.",Risques naturels,Inondations,,Tous public,2023-09-30,2023-10-15,"Quai de Seine, 76480 Duclair",Duclair (76480),76,Seine-Maritime,13439827,MAIRIE DE DUCLAIR,En construction,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,49.4807247,0.8754147,
13439827,Visite guidée de l'œuvre AMPLITUDE dans le cadre du festival ZigZag,"L’œuvre Amplitude, installée en 2021, vise à sensibiliser aux risques de crues et à modifier notre regard sur le fleuve. La visite au départ de l’œuvre témoins de crue propose de mettre en perspective ces questions environnementales.",Risques naturels,Inondations,,Tous public,2023-10-01,2023-10-01,"Quai de Seine, 76480 Duclair",Duclair (76480),76,Seine-Maritime,13439827,MAIRIE DE DUCLAIR,En construction,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,49.4807247,0.8754147,
